id,description,code,name,keywords,include,exclude
1322,Limones y limas,1322,Limones y limas,Limones y limas,"Esta subclase incluye: Limones, fruto de Citrus limón, Limas, fruto de Citrus aurantifolia y Citrus latifolia. ","Esta subclase no incluye: Limones verdes, véase 01329"
1323,Naranjas,1323,Naranjas,Naranjas,"Esta subclase incluye: Naranjas, cítricos sirensis, Naranja amarga, Citrus aurantium",
1324,"Tangerinas, mandarinas, clementinas",1324,"Tangerinas, mandarinas, clementinas","Tangerinas, mandarinas, clementinas","Esta subclase incluye: Tangerina, mandarinas y clementinas, los frutos de Citrus reticulata",
1329,Otras frutas cítricas n.c.p.,1329,Otras frutas cítricas n.c.p.,Otras frutas citricas n.c.p.,"Esta subclase incluye: Bergamota, Citrus aurantium subsp. bergamia, Chinottos, fruto de la naranja de hojas de mirto, Citrus aurantium var. Myrtfolia, Citrons, Citrus medica, Kumquats(naranjo enano), especies de Fortunella",
1330,Uvas,1330,Uvas,Uvas,Uvas,
1341,Grosellas,1341,Grosellas,Grosellas,"Esta subclase incluye: pasas, bayas de Ribes, grosellas rojas, grosellas blancas, Ribes rubrum, grosella negras, Ribes nigrum, Grosellas , Ribes uvacrispa o grosularia Ribes",
1342,Kiwis,1342,Kiwis,Kiwis,Kiwis,
1343,"Frambuesas, zarzamoras, moras y moras-frambuesa",1343,"Frambuesas, zarzamoras, moras y moras-frambuesa","Frambuesas, zarzamoras, moras y moras-frambuesa","Frambuesas, zarzamoras, moras y moras-frambuesa",
1344,Frutillas (Fresas),1344,Frutillas (Fresas),Frutillas (Fresas),Frutillas (Fresas),
1349,Otras bayas y frutos del género vaccinium n.c.p.,1349,Otras bayas y frutos del género vaccinium n.c.p.,Otras bayas y frutos del genero vaccinium n.c.p.,"Esta subclase incluye: Arándanos, mirtilos y otros frutos del género Vaccinium: Arándano exterior rojos y agrio, Arándano de pulpa azulada, Arándano de pulpa verdosa, Arándanos rojos, Arándano de semilla grande y crujiente, bayas de arrayan, fruta Arbutus, Arbutus unedo, mordoño, Bérberos, Berberís vulgaris, moras purpuras, aguaymanto o uchuva, bayas de saúco, azarollos, Sorbus aucuparia, mostellar, Sorbus domestica, Sorbus aria, serba (o manzanas serbal), . ","Esta subclase no incluye: Bayas tropicales y subtropicales y frutas, tales como: lichis, litchis, longans, mata kucing, akee, pepinos, véase. 01319"
1351,Manzanas,1351,Manzanas,Manzanas,Manzanas,
1352,Peras y membrillos,1352,Peras y membrillos,Peras y membrillos,Peras y membrillos,
1353,Damascos,1353,Damascos,Damascos,Damascos,
1354,Cerezas,1354,Cerezas,Cerezas,Cerezas,
1355,Duraznos y nectarines,1355,Duraznos y nectarines,Duraznos y nectarines,Duraznos y nectarines,
1356,Ciruelas y endrinas ,1356,Ciruelas y endrinas ,Ciruelas y endrinas ,Ciruelas y endrinas ,
1359,Otras frutas de pepita y de hueso n.c.p.,1359,Otras frutas de pepita y de hueso n.c.p.,Otras frutas de pepita y de hueso n.c.p.,"Esta subclase incluye: Nísperos japoneses, Eriobotrya japónica, Nísperos, Mespilus germánica, Azufaifo común, Zizyphus jujuba",
1360,Semillas de frutas,1360,Semillas de frutas,Semillas de frutas,Semillas de frutas,
1371,Almendras con cáscara,1371,Almendras con cáscara,Almendras con cascara,Almendras con cáscara,
1372,"Castañas de cajú, con cáscara",1372,"Castañas de cajú, con cáscara","Castañas de caju, con cascara","Castañas de cajú, con cáscara",
1373,"Castañas, con cáscara",1373,"Castañas, con cáscara","Castañas, con cascara","Esta subclase incluye: Castañas, nueces de Castanea. , ","Esta subclase no incluye: Castañas de agua, Trapa natans, véase 01379, Castañas de agua chinas, Eleocharis dulcis, véase 01290, Castañas sin cáscara, véase 21429, Castaña de Indias, véase 39120"
1374,Avellanas con cáscara,1374,Avellanas con cáscara,Avellanas con cascara,Avellanas con cáscara,
1375,Pistachos con cáscara,1375,Pistachos con cáscara,Pistachos con cascara,"Esta subclase incluye: Pistachos, semillas de la fruta de Pistacia vera",
1376,Nueces de nogal con cáscara,1376,Nueces de nogal con cáscara,Nueces de nogal con cascara,Nueces de nogal con cáscara,
1377,Nueces del Brasil con cáscara,1377,Nueces del Brasil con cáscara,Nueces del Brasil con cascara,Nueces del Brasil con cáscara,
1379,"Otros frutos secos (excepto nueces silvestres comestibles y maní), con cáscara ",1379,"Otros frutos secos (excepto nueces silvestres comestibles y maní), con cáscara ","Otros frutos secos (excepto nueces silvestres comestibles y mani), con cascara ","Esta subclase incluye: nueces de areca, Castañas de agua, abrojos agua, Trapa natans, nueces de cola, nueces de ginkgo, nueces de macadamia, nueces de pecana, piñón. ","Esta subclase no incluye: castañas de agua chino, véase 01290, frutos secos sin cáscara, véase clase 2142, frutos secos silvestres comestibles, véase 03230"
1391,Algarrobas,1391,Algarrobas,Algarrobas,"Esta subclase incluye: Granos de algarrobas (algarrobos), Ceratonia siliqua",
1399,"Otras frutas, n.c.p.",1399,"Otras frutas, n.c.p.","Otras frutas, n.c.p.","Esta subclase incluye: caqui, Tuna, cactus fig, Bel, membrillo de Bengala, Aegle marmelos, Farolillo chino, Physalis alkekengi, Varias especies de caqui, Flacourtia cataphracta, Espino amarillo, Hippophae rhamnoides, granadas, tamarindo, pitaya",
1411,"Habas de soja, para siembra",1411,"Habas de soja, para siembra","Habas de soja, para siembra","Esta subclase incluye: Granos de soja, Glycine soja, cultivadas específicamente con propósito de sembrado",
1412,Otras habas de soja,1412,Otras habas de soja,Otras habas de soja,"Esta subclase incluye: Granos de soja, Glycine soja. ","Esta subclase no incluye: Granos de soja cultivada específicamente con propósitos de sembrado, véase 01411"
1421,"Maní con cáscara, para siembra",1421,"Maní con cáscara, para siembra","Mani con cascara, para siembra","Esta subclase incluye: Maní, Arachis hypogaea, cultivado específicamente con propósitos de sembrado. ","Esta subclase no incluye: Maní no cultivado específicamente con propósitos de sembrado, véase 01422"
1422,Otros maní con cáscara,1422,Otros maní con cáscara,Otros mani con cascara,"Esta subclase incluye: Maní, Arachis hypogaea. ","Esta subclase no incluye: Maní, Arachis hypogaea, cultivado específicamente con propósitos de sembrado, véase 01421"
1431,Semillas de algodón para siembra,1431,Semillas de algodón para siembra,Semillas de algodon para siembra,"Esta subclase incluye: Semilla de algodón, especie Gossypium, que se cultiva específicamente con propósito de sembrado. , ","Esta subclase no incluye: algodón no cultivado específicamente con propósito de sembrado., véase 01432"
1432,Otras semillas de algodón,1432,Otras semillas de algodón,Otras semillas de algodon,"Esta subclase incluye: Semilla de algodón, especie Gossypium. ","Esta subclase no incluye: Semillas de algodón cultivados específicamente con propósito de sembrado, véase 01431"
1441,Semillas de linaza,1441,Semillas de linaza,Semillas de linaza,Semillas de linaza,
1442,Semillas de mostaza,1442,Semillas de mostaza,Semillas de mostaza,Semillas de mostaza,
1443,Semillas de colza,1443,Semillas de colza,Semillas de colza,Semillas de colza,
1444,Semillas de sésamo,1444,Semillas de sésamo,Semillas de sesamo,Semillas de sésamo,
1445,Semillas de girasol,1445,Semillas de girasol,Semillas de girasol,Semillas de girasol,
1446,Semilla de cártamo,1446,Semilla de cártamo,Semilla de cartamo,"Esta subclase incluye: Semilla de cártamo, Carthamus tinctorius",
1449,Otras semillas oleaginosas n.c.p.,1449,Otras semillas oleaginosas n.c.p.,Otras semillas oleaginosas n.c.p.,"Esta subclase incluye: Semillas de ricino, Ricinus communis (no alimentarios), semillas de Crambe, C. abyssinica, semillas de cáñamo, Cannabis sativa, Semillas de amapola, somniferum Papaverum, Otras semillas oleaginosas n.c.p.",
1450,Aceitunas,1450,Aceitunas,Aceitunas,"Esta subclase incluye: Aceitunas, Olea europea",
1460,"Coco, con cáscara",1460,"Coco, con cáscara","Coco, con cascara","Esta subclase incluye: Coco, Cocos nucifera, con cáscara. ","Esta subclase no incluye: Cocos sin cáscara, véase 21429"
1491,Nueces y almendra de palma,1491,Nueces y almendra de palma,Nueces y almendra de palma,"Esta subclase incluye: Nueces y almendras del fruto de la palma aceitera, Elaeis guineensis",
1499,"Otros frutos oleaginosos, n.c.p.",1499,"Otros frutos oleaginosos, n.c.p.","Otros frutos oleaginosos, n.c.p.","Esta subclase incluye: Pulpa seca de coco, nueces de karite, Butyrospermum parkii, nueces de tung, Aleurites fordii, Jojoba, Simmondsia califórnica, Semillas de árboles de sebo, Sapium sebiferum, semillas de Kapok, Ceiba pentandra (también produce fibras), Perilla, Camellia japónica, Semillas de árboles de nim, Azadirachta indica, semillas de Mohwa, Bassia latifolia, Oiticica árbol, Licania rígida, karanja, semillas de Pungam",
1510,Papas,1510,Papas,Papas,Papas,
1591,Camote,1591,Camote,Camote,Camote,
1592,Mandioca (yuca),1592,Mandioca (yuca),Mandioca (yuca),Mandioca (yuca),
1593,Ñames,1593,Ñames,Ñames,"Esta subclase incluye: Ñames, los tubérculos de las parras de género de la Dioscorea , D. batatas, D. trífida, D. alata, D. bulbifera, D. rotunda, D. cayenensis, D. exculenta, D. dumetorum. ","Esta subclase no incluye: Camote, véase 01591"
1599,Raíces y tubérculos comestibles con alto contenido en almidón o inulina n.c.p.,1599,Raíces y tubérculos comestibles con alto contenido en almidón o inulina n.c.p.,Raices y tuberculos comestibles con alto contenido en almidon o inulina n.c.p.,"Esta subclase incluye: Arruruz, Maranta, Malanga, Colocasia esculenta o Colocasia antiquorum , rizoma de loto, rizomas de Nelumbo nicifera, Salep, los tubérculos de Orhcis mascula, Bulbo de especies de Xanthosoma, tales como: cocoyam, malanga, tannia, yautía, macabo, oreja de elefante, Alcachofas de jerusalen (patacas), Girasole, helianthus tuberosus, raíces de las especies de Dalia, Tacca, Tacca pinnatífida",
1610,"Café, verde",1610,"Café, verde","Cafe, verde","Café, verde",
1620,Hojas de té,1620,Hojas de té,Hojas de te,Hojas de té,
1630,Hojas de yerba mate,1630,Hojas de yerba mate,Hojas de yerba mate,Hojas de yerba mate,
1640,Granos de cacao,1640,Granos de cacao,Granos de cacao,Granos de cacao,
1651,"Pimienta, en bruto",1651,"Pimienta, en bruto","Pimienta, en bruto","Pimienta, en bruto",
1652,"Ajíes y pimientos secos, en bruto",1652,"Ajíes y pimientos secos, en bruto","Ajies y pimientos secos, en bruto","Esta subclase incluye: Frutos secos de las plantas del género Capsicum, en bruto, capsicum, pimentones , ají, variedad cultivos de Capsicum annuum, ají de cayena, jalapeño, ají anaheim , paprika, pimiento, ají ancho, poblano, pimiento, Frutas secas de las plantas del género Pimienta, en bruto, pimienta de Jamaica, pimienta inglesa, Pimienta dioica. ",
1653,"Nuez moscada, macis y cardamomo, en bruto",1653,"Nuez moscada, macis y cardamomo, en bruto","Nuez moscada, macis y cardamomo, en bruto","Esta subclase incluye: Nuez moscada del verdadero árbol de la nuez moscada, Mirística fragans, y muchos seudo nuez moscada, como nuez moscada o su semilla., Cardamomo, Elettaria cardamomum, y varios ""cadamoms falsos"""", de las especies de Amomum y Aframomum, en bruto, ","Esta subclase no incluye: Nuez moscada procesada, semilla de nuez moscada procesado o cardamomo procesado, véase 23923"
1654,"Anís, badiana, cilantro, comino, alcaravea, hinojo y bayas de enebro, en bruto",1654,"Anís, badiana, cilantro, comino, alcaravea, hinojo y bayas de enebro, en bruto","Anis, badiana, cilantro, comino, alcaravea, hinojo y bayas de enebro, en bruto","Esta subclase incluye: Anís, Pimpinella anisum, en bruto, Anís estrellado o anís estrellado chino, Illicium verum, en bruto, Hinojo, Foeniculum vulgare, en bruto (cuando se usa como especia), Cilantro, Coriandrum sativum, en bruto, Comino, Cuminum cyminum, en bruto, Semillas de alcaravea, Carum carvi, en bruto, Bayas de enebro, Juniperus communis, en bruto. , ","Esta subclase no incluye: Hinojo (cuando se usa como un vegetal), véase. 01290, Anís procesados, hinojo procesados, cilantro procesados, comino procesados, semillas de alcaravea procesados y bayas de enebro procesados, véase. 23924"
1655,Canela en bruto,1655,Canela en bruto,Canela en bruto,Canela en bruto,
1656,"Clavo de olor (tallos enteros), en bruto",1656,"Clavo de olor (tallos enteros), en bruto","Clavo de olor (tallos enteros), en bruto","Esta subclase incluye: Clavo de olor, es decir frutos de los árboles de hoja perenne Syzygium aromaticum, Eugenia caryophyllata, cariophillus aromaticus, bruto. ","Esta subclase no incluye: Clavos de olor procesado, véase 23926"
1657,Jengibre en bruto,1657,Jengibre en bruto,Jengibre en bruto,"Esta subclase incluye: Jengibre, Zingiber officinalie. ","Esta subclase no incluye: Jengibre procesado, incluyendo el jengibre raspado y el jengibre en salmuera, véase. 23927"
1658,Vainilla en bruto,1658,Vainilla en bruto,Vainilla en bruto,"Esta subclase incluye: Vainilla, vainilla planifolia y V. fragrans, en bruto. ","Esta subclase no incluye: Vainilla procesada, véase 23928"
1659,Conos de lúpulo,1659,Conos de lúpulo,Conos de lupulo,Conos de lúpulo,
1690,"Otros estimulantes, especias y plantas aromáticas, n.c.p.",1690,"Otros estimulantes, especias y plantas aromáticas, n.c.p.","Otros estimulantes, especias y plantas aromaticas, n.c.p.","Esta subclase incluye: Azafrán, Crocus sativus, Cúrcuma, azafrán de la India, cúrcuma longa, Albahaca y semillas de albahaca, Ocinum basilicum, Eneldo y semillas de eneldo, Anethum graveolens, Curry en polvo y en pastas, Tomillo, timo, Hojas de laurel, Laurus nobilis, pimienta de guinea, pimienta negra, semillas de Xylopia aethiopica, Las raíces de achicoria sin tostar, de la variedad Cichorium intybus sativum, Tallos de Angelica, Nueces de guaraná , kava. ","Esta subclase no incluye: algarrobas (algarrobos), véase 01391, Caña de azúcar, véase 01802, Sorgo dulce, sorgo saccharatum, véase 01809, Raíces de achicoria sin tostar, que no sea Cichorium intybus sativum, véase 01961, Cuezco de damasco, durazno y ciruela, véase 21499, Achicoria tostada y demás sucedáneos del café tostados, véase 23912"
1701,Frijoles  secos (porotos secos),1701,Frijoles  secos (porotos secos),Frijoles  secos (porotos secos),"Esta subclase incluye: Granos, especies de Phaseolus (vulgaris, lunatus, Staphylococcus angularis, etc.), Granos, especies de Vigna (angularis, mungo, radiata, unguiculata, etc.). ","Esta subclase no incluye: Granos de soja, véase 0141 , porotos verdes, véase 01241, Lentejas, verde, véase 01249, Los brotes de soja y los brotes, véase 01290, Las algarrobas (algarrobos), véase 01391, Semillas de ricino, véase 01449, Porotos y habas, véase 01702, Garbanzos (garbanzos), véase 01703, Lentejas secas, véase 01704"
1702,Habas secas,1702,Habas secas,Habas secas,Habas secas,
1703,Garbanzos secos,1703,Garbanzos secos,Garbanzos secos,Garbanzos secos,
1704,Lentejas secas,1704,Lentejas secas,Lentejas secas,Lentejas secas,
1705,Arvejas secas,1705,Arvejas secas,Arvejas secas,Arvejas secas,
1709,Legumbres secas n.c.p.,1709,Legumbres secas n.c.p.,Legumbres secas n.c.p.,Legumbres secas n.c.p.,
1801,Remolacha azucarera,1801,Remolacha azucarera,Remolacha azucarera,Remolacha azucarera,
1802,Caña de azúcar,1802,Caña de azúcar,Caña de azucar,"Esta subclase incluye: Caña de azúcar, Saccharum officinarum ",
1803,Semillas de remolacha azucarera,1803,Semillas de remolacha azucarera,Semillas de remolacha azucarera,Semillas de remolacha azucarera,
1809,Otros cultivos de azúcar n.c.p.,1809,Otros cultivos de azúcar n.c.p.,Otros cultivos de azucar n.c.p.,"Esta subclase incluye: Los cultivos de azúcar no clasificados en otra parte, tales como: azúcar de arce, Acer saccharum , sorgo dulce, Sorghum saccharatum. ","Esta subclase no incluye: Caña de azúcar, véase 01802 , azúcar de remolacha, véase 01801, Semillas de remolacha azucarera, véase 01803, Algarrobas, véase 01391 "
1911,Maíz para forraje y ensilaje,1911,Maíz para forraje y ensilaje,Maiz para forraje y ensilaje,"Esta subclase incluye: El maíz, choclo, para forraje y ensilaje",
1912,Alfalfa para forraje y ensilaje,1912,Alfalfa para forraje y ensilaje,Alfalfa para forraje y ensilaje,"Esta subclase incluye: Alfalfa, Medicago sativa, para forraje y ensilaje",
1913,"Paja de cereales, cáscaras, en bruto, molidos, prensados o en pellets",1913,"Paja de cereales, cáscaras, en bruto, molidos, prensados o en pellets","Paja de cereales, cascaras, en bruto, molidos, prensados o en pellets","Paja de cereales, cáscaras, en bruto, molidos, prensados o en pellets",
1919,Productos de forraje n.c.p.,1919,Productos de forraje n.c.p.,Productos de forraje n.c.p.,"Esta subclase incluye: Remolacha, Beta vulgaris, forraje, Zanahoria, nabos para forraje, forrajes, Forraje de sorgo, trébol, col, lupino, pipirigallo, vezas, heno, Colinabos, forrajes. ","Esta subclase no incluye: Maíz forrajero, véase 01911, Alfalfa, véase 01912, cultivos sin fines forrajeros, véase grupos 011 y 012"
1921,"Algodón, desmotado o sin desmotar",1921,"Algodón, desmotado o sin desmotar","Algodon, desmotado o sin desmotar","Algodón, desmotado o sin desmotar",
1922,"Yute, kenaf y otras fibras textiles del líber, en bruto o enriado, excepto lino, cáñamo y ramio",1922,"Yute, kenaf y otras fibras textiles del líber, en bruto o enriado, excepto lino, cáñamo y ramio","Yute, kenaf y otras fibras textiles del liber, en bruto o enriado, excepto lino, cañamo y ramio","Yute, kenaf y otras fibras textiles del líber, en bruto o enriado, excepto lino, cáñamo y ramio",
